,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2010-02-22,31.85,36.81,49.15,58.72,193.79,55.74,39.25,30.75,26.0,51.71,32.13,41.06,148.99,37.38,31.79,49.07,14.41,34.78,15.54,118.01,24.64,46.7,24.67,73.5,15.06,30.68,118.61,64.47,25.92,29.87,32.47,46.23,53.35,42.19,15.97,23.49,26.18,27.37,22.74,26.35,15.22,10.72,14.78,72.93,56.31,65.09,46.66,34.63,65.35,47.2,12.92,4.96,8.54,15.49,59.44,37.62,57.12,22.88,49.08,26.75
2010-02-23,31.3,35.86,48.85,57.62,190.54,55.17,39.05,30.83,25.64,52.13,31.5,40.8,148.98,37.3,31.8,48.88,14.15,34.61,15.3,117.24,24.38,46.37,24.42,72.61,15.01,30.26,118.24,63.66,25.25,29.61,32.41,45.09,52.09,41.61,15.7,22.11,25.7,27.76,22.35,26.51,14.96,11.09,14.45,71.55,56.12,65.05,46.55,33.9,64.67,46.79,12.78,4.97,8.41,15.38,59.02,36.73,57.21,22.65,48.74,26.45
2010-02-24,31.62,36.32,49.43,58.27,194.02,55.44,39.13,30.75,25.91,52.06,31.89,41.37,150.53,37.79,32.47,49.15,14.3,34.6,15.42,119.72,24.55,46.79,24.57,72.94,15.27,30.31,119.3,63.92,25.59,29.87,32.75,44.92,52.37,41.41,16.09,23.12,26.08,28.31,22.76,26.44,15.07,11.22,14.64,74.33,56.73,65.61,46.25,34.46,65.38,47.41,12.95,4.99,8.55,15.59,59.57,37.62,57.55,22.92,49.1,26.66
2010-02-25,31.59,35.97,49.15,57.71,195.32,55.64,38.9,30.59,25.88,52.14,31.78,41.26,148.73,37.85,32.95,49.36,14.21,34.0,15.31,118.2,24.32,46.95,23.66,72.64,15.01,30.17,118.81,63.72,25.39,29.47,32.26,44.09,52.21,41.58,16.3,22.73,26.24,28.31,22.55,26.22,14.94,11.26,15.12,73.9,56.56,65.66,46.17,34.24,65.02,47.53,12.86,5.07,8.59,15.24,59.2,37.43,57.26,22.91,48.98,26.4
2010-02-26,31.4,36.11,49.49,57.98,197.85,55.79,39.16,30.6,25.95,52.44,32.28,41.6,148.98,37.78,32.24,49.29,14.34,34.11,15.19,118.4,24.42,47.17,23.48,73.01,15.29,30.51,118.9,63.89,25.3,29.64,32.03,44.32,52.45,41.48,16.41,20.46,26.41,28.17,22.42,25.88,15.0,11.23,15.44,74.83,56.19,66.32,46.37,34.61,65.33,47.41,12.81,5.12,8.66,15.31,59.07,38.66,56.79,22.91,49.1,26.24
2010-03-01,31.99,36.05,49.98,58.75,202.07,56.65,40.23,30.51,26.26,52.44,32.28,42.25,149.16,38.16,32.4,49.13,14.19,34.8,15.37,124.54,24.52,47.34,23.73,73.41,15.65,30.88,120.22,64.34,25.31,29.92,32.65,44.55,53.19,42.18,16.46,21.3,26.92,28.37,22.65,26.14,15.1,11.87,15.72,73.64,56.39,67.26,46.37,34.97,66.56,48.11,13.13,5.16,8.83,15.79,59.44,38.53,56.91,23.16,50.5,26.43
2010-03-02,32.51,36.3,50.04,59.15,201.94,56.98,41.47,30.67,25.76,52.09,32.09,42.71,151.27,38.2,32.24,48.85,14.19,34.85,15.24,125.53,24.2,47.98,23.74,73.91,15.62,31.07,119.14,64.79,25.79,29.92,32.89,44.88,53.46,42.51,16.22,20.68,26.98,28.31,22.51,26.31,15.58,11.69,15.6,74.42,56.57,67.56,46.77,34.87,66.62,47.72,13.23,5.17,8.78,15.73,59.52,38.33,56.99,23.17,50.42,26.66
2010-03-03,32.3,36.19,49.7,59.16,202.4,57.54,41.38,30.78,25.76,52.39,32.12,42.67,150.29,38.2,32.35,48.91,14.31,35.5,14.99,125.89,24.07,48.04,24.02,73.79,15.77,31.38,118.64,64.62,26.09,30.12,32.97,45.28,53.85,42.78,16.14,20.55,26.92,28.41,22.44,26.37,15.94,12.13,15.49,76.94,56.43,67.25,46.74,34.93,65.59,47.7,13.26,5.17,8.8,15.57,59.47,38.25,56.59,23.39,49.94,26.93
2010-03-04,32.27,36.77,49.92,60.17,203.74,57.66,41.83,30.79,25.91,52.41,32.28,42.99,155.9,38.33,32.02,49.19,14.38,35.04,15.0,128.53,24.31,47.57,24.26,73.81,15.97,31.04,118.49,64.58,26.31,30.38,33.09,44.91,53.74,42.57,16.17,22.07,27.19,28.38,22.69,26.47,16.11,12.23,15.5,75.42,56.53,67.61,46.81,34.82,65.69,48.08,13.22,5.15,8.82,15.81,59.44,38.61,56.42,23.49,50.55,26.82
2010-03-05,32.97,38.01,50.26,62.36,211.7,57.9,42.34,30.93,25.87,52.47,32.85,43.05,159.3,38.35,32.01,49.35,14.59,36.34,15.13,128.91,25.1,47.94,24.37,75.1,16.21,31.8,118.98,65.65,26.97,30.74,33.24,46.03,54.45,44.06,16.46,23.2,27.77,28.71,22.96,26.71,16.75,12.43,15.63,76.94,56.55,69.31,47.06,35.15,66.4,48.57,13.43,5.14,9.13,16.06,60.41,39.43,56.63,23.74,51.47,27.14
