,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-12-23,32.68,38.8,45.49,50.11,195.41,54.19,40.09,34.16,27.85,55.46,39.34,43.69,155.57,37.79,34.11,48.6,13.67,29.36,15.93,138.94,25.16,46.55,25.52,74.38,15.82,33.1,121.01,67.43,24.8,28.7,30.37,51.1,53.25,41.93,14.96,24.3,26.49,26.18,23.17,24.64,14.44,9.64,13.62,83.75,54.05,63.64,47.05,33.93,61.09,49.0,13.87,5.2,7.86,16.67,61.64,38.23,55.88,22.39,44.46,28.05
2009-12-24,32.94,39.24,45.71,50.58,202.12,54.44,40.62,34.32,27.92,55.26,39.47,43.73,155.89,37.66,34.14,48.86,13.7,29.31,15.95,138.47,25.12,46.76,25.59,74.71,15.88,33.24,121.54,67.77,25.02,29.01,30.42,51.51,53.26,43.84,15.02,24.88,26.43,26.33,23.63,24.82,14.56,9.69,13.82,84.91,54.02,63.54,47.67,34.0,61.21,49.35,14.31,5.1,7.96,16.72,62.0,38.54,55.93,22.56,44.6,28.16
2009-12-28,33.12,38.65,46.18,50.27,204.61,54.62,39.7,34.47,28.08,55.58,39.0,44.11,155.69,37.57,33.98,49.21,13.61,29.58,15.98,139.31,25.05,46.68,25.59,75.52,15.78,33.67,123.16,68.07,24.71,29.26,30.66,51.88,53.43,43.12,15.06,26.02,26.38,26.34,23.32,25.01,14.35,9.75,13.77,84.55,54.0,64.04,47.63,34.27,61.42,49.25,14.12,5.05,7.8,16.88,62.38,38.38,56.1,22.68,45.23,28.34
2009-12-29,32.89,38.49,46.12,50.34,202.18,54.57,39.7,34.45,28.27,55.6,38.82,44.09,156.04,37.53,33.92,49.32,13.7,29.35,15.92,139.41,25.19,46.78,25.72,76.14,15.79,33.61,122.74,67.58,24.64,29.41,30.9,51.81,53.13,42.69,14.9,26.16,26.58,26.42,23.21,24.98,14.34,9.67,13.8,85.06,54.29,64.85,47.65,34.35,61.4,49.07,13.85,4.96,7.93,16.92,62.16,38.17,56.08,22.69,45.24,28.34
2009-12-30,33.01,38.41,45.92,50.11,204.64,54.75,39.48,34.49,27.89,55.59,38.35,44.24,158.49,37.53,33.82,49.5,13.62,29.3,15.87,136.49,24.86,46.59,25.69,75.93,15.78,33.16,123.41,67.96,24.77,29.56,30.96,51.53,53.01,42.62,14.85,25.28,26.4,26.3,23.77,25.02,14.39,9.55,13.8,84.41,54.1,64.39,47.66,33.95,61.53,49.41,14.31,4.96,8.01,16.98,62.1,38.2,55.46,22.77,45.23,28.17
2009-12-31,33.06,38.15,45.34,49.35,203.76,54.3,38.65,34.29,27.45,55.0,37.39,43.69,160.52,37.21,33.45,48.72,13.42,29.0,15.6,134.52,24.51,46.41,25.39,74.82,15.59,32.74,121.85,67.39,24.93,29.23,30.49,50.99,52.04,42.32,14.84,24.77,26.3,26.12,23.84,24.74,14.3,9.56,13.67,84.16,53.45,63.74,46.96,33.9,61.06,48.08,13.89,4.92,7.82,16.78,61.57,38.33,55.07,22.54,44.45,27.93
2010-01-04,34.04,38.52,45.94,51.22,206.93,54.69,40.15,34.87,27.88,55.48,37.74,43.97,164.55,37.53,33.98,49.43,13.71,30.02,16.23,133.9,24.85,44.86,25.41,75.13,15.78,34.03,123.29,69.2,25.24,29.74,31.22,52.45,53.46,43.23,15.46,24.69,26.55,25.88,23.8,24.97,15.27,9.83,14.01,85.08,53.88,65.01,46.63,34.69,61.97,48.96,14.07,4.97,7.98,17.1,62.44,39.47,55.37,23.25,45.24,28.45
2010-01-05,34.07,38.44,45.28,52.9,207.29,55.35,39.72,33.95,27.89,55.53,37.06,43.69,167.46,37.83,33.71,48.94,13.78,29.88,16.0,134.69,25.0,44.81,25.1,74.66,15.57,33.6,121.8,69.69,25.93,29.46,31.09,52.57,54.1,43.57,15.96,24.23,26.25,26.07,23.66,26.19,15.66,10.48,13.97,83.77,53.9,65.69,46.74,34.45,62.07,49.17,14.38,4.99,7.99,17.23,62.68,40.23,54.94,23.15,45.32,27.76
2010-01-06,34.32,39.06,44.64,54.5,203.99,54.8,40.95,33.55,27.72,54.84,36.55,44.71,165.68,37.74,33.45,48.83,13.71,29.85,15.95,132.25,25.07,44.65,25.09,75.72,15.46,33.58,121.01,69.7,25.97,29.55,30.82,52.56,54.27,43.52,16.15,24.07,26.19,25.98,23.49,26.37,16.06,10.87,13.89,84.84,53.64,64.72,46.75,34.15,62.02,48.71,14.1,5.14,7.91,17.17,63.22,40.45,54.19,23.0,45.5,27.52
2010-01-07,34.19,39.69,45.19,56.71,203.61,54.45,41.0,33.66,27.43,54.48,35.87,45.89,168.92,37.59,33.65,48.86,14.41,29.8,15.89,130.0,25.17,44.26,25.03,75.78,15.78,33.4,120.59,69.43,26.91,29.86,31.95,52.44,54.49,42.31,16.68,23.61,25.92,26.29,23.56,26.3,16.18,11.15,14.02,83.79,53.35,62.95,47.21,33.57,62.2,48.73,14.24,5.18,7.95,16.7,63.03,41.25,54.59,23.1,45.97,27.07
2010-01-08,34.48,39.66,46.16,56.16,204.97,54.27,40.55,33.35,27.62,54.14,36.64,46.23,165.72,36.92,33.7,48.61,14.73,30.41,16.02,133.52,25.22,44.62,24.57,76.31,15.73,33.51,121.8,69.56,26.66,29.47,32.18,52.76,55.1,41.99,16.53,24.24,25.96,26.16,24.1,26.33,15.95,11.18,13.92,85.76,53.28,63.96,47.12,34.34,62.2,49.09,14.37,5.2,7.92,16.7,62.77,41.15,54.54,23.22,45.71,27.43
2010-01-11,34.68,39.21,46.64,55.5,203.16,54.21,40.85,33.78,27.27,54.07,37.32,47.26,163.11,36.76,33.75,49.42,14.87,30.6,16.15,130.31,25.17,45.42,25.07,76.0,15.63,34.07,120.53,70.79,26.6,29.74,32.11,53.54,58.56,42.12,16.68,24.48,26.33,25.42,23.79,26.21,15.8,11.58,13.92,86.2,53.07,64.27,47.15,34.52,63.35,48.94,14.37,5.19,8.12,16.74,63.48,41.01,54.96,23.16,45.76,27.59
2010-01-12,33.95,39.73,46.64,55.1,200.85,54.97,40.17,33.85,27.09,54.4,35.47,46.24,159.55,36.54,33.47,49.89,14.88,31.57,16.1,127.35,24.95,44.92,25.34,76.07,15.35,33.79,121.49,70.38,25.94,29.52,31.76,52.6,56.83,42.68,16.12,23.51,25.72,25.26,22.79,26.66,15.55,11.35,13.73,89.5,53.68,64.26,47.13,35.87,62.97,48.51,14.57,5.29,8.18,16.68,63.16,40.06,55.26,22.79,45.81,27.53
2010-01-13,34.16,39.85,47.29,55.76,203.68,55.42,40.76,33.85,27.34,54.92,36.53,47.03,160.74,36.71,33.78,50.15,14.93,33.16,16.47,129.11,25.3,45.21,25.4,75.82,15.6,33.94,121.23,69.85,26.4,29.78,32.15,52.35,56.92,42.2,16.37,24.01,26.19,25.39,22.89,26.6,15.42,11.17,14.23,89.19,54.23,65.04,47.42,36.43,64.0,48.75,14.58,5.3,8.27,16.9,62.91,40.76,55.2,23.2,47.19,27.79
2010-01-14,34.3,40.36,47.86,56.13,202.5,56.09,41.34,34.07,27.89,54.4,36.83,46.81,160.23,36.42,33.81,49.42,14.81,33.73,16.62,127.35,26.7,45.74,25.45,75.57,15.5,34.64,123.16,69.63,26.78,29.6,32.13,51.83,56.6,42.29,16.57,23.63,25.98,25.55,22.61,26.5,15.6,11.25,14.51,90.93,54.29,65.0,47.53,36.64,64.03,49.02,14.22,5.42,8.22,17.12,62.92,41.16,55.25,23.49,47.19,27.91
2010-01-15,34.33,40.08,47.5,55.45,199.12,55.63,40.37,33.2,27.8,53.71,36.22,45.68,157.07,36.23,33.34,48.93,14.58,33.34,16.71,127.14,26.35,45.09,25.07,75.45,15.46,34.22,122.67,69.35,25.94,29.53,32.1,50.49,55.27,41.87,16.02,23.18,25.41,25.79,22.42,26.92,16.02,11.09,14.25,91.14,53.62,64.94,47.97,36.9,63.59,48.98,13.93,5.5,8.17,16.82,62.4,40.23,54.93,22.98,46.65,27.77
2010-01-19,34.77,40.62,48.14,55.3,207.92,55.67,39.37,34.18,28.01,54.21,36.44,45.94,158.64,36.5,33.47,49.25,14.67,33.99,17.15,127.61,26.53,45.79,25.13,77.03,15.63,34.44,124.87,69.74,26.12,30.25,32.13,51.67,56.02,42.27,16.08,23.34,25.93,26.07,22.62,26.77,16.11,11.24,14.43,91.78,54.41,66.25,48.11,36.58,63.66,49.24,14.33,5.41,8.34,16.75,62.55,39.86,55.99,23.4,46.91,28.31
2010-01-20,34.35,40.64,47.94,54.89,204.72,55.33,39.63,34.13,27.55,53.6,35.97,45.05,159.52,35.88,33.66,49.1,14.64,33.25,17.1,125.78,25.89,45.64,24.72,76.67,15.36,33.51,121.25,68.4,25.7,29.97,32.12,50.16,54.94,40.5,16.25,23.1,25.83,25.87,22.46,26.2,16.32,11.01,14.3,89.37,53.67,66.08,47.55,35.38,62.46,48.74,14.04,5.19,8.22,16.38,61.43,39.97,55.57,22.99,46.39,27.76
2010-01-21,33.82,39.86,47.2,53.97,201.18,54.42,37.95,33.7,27.03,52.76,35.1,43.46,152.95,36.01,33.2,48.24,14.21,34.36,16.5,126.62,25.3,45.6,24.22,74.84,14.88,32.42,120.08,66.73,25.86,28.78,31.54,48.81,52.27,41.05,15.24,22.76,25.32,25.71,22.12,25.7,16.13,10.69,14.03,90.42,53.13,65.12,47.17,35.69,61.36,47.88,13.92,5.32,8.58,16.2,60.23,37.34,55.74,22.58,45.11,27.31
2010-01-22,32.76,36.49,46.65,52.67,191.21,53.93,36.75,33.08,26.09,52.0,33.99,42.84,146.53,36.76,32.79,48.26,14.29,34.18,16.26,121.43,24.69,45.68,24.16,73.74,14.74,31.76,116.82,65.29,25.18,28.22,31.54,47.87,49.88,41.08,14.68,21.89,24.55,25.02,21.15,25.37,15.52,10.06,13.69,88.17,53.55,63.94,47.97,35.11,60.35,46.01,13.19,5.38,8.29,15.88,59.69,36.07,55.91,21.63,44.27,26.92
2010-01-25,32.86,35.73,46.82,52.68,196.35,53.79,37.63,32.83,26.41,52.19,33.71,43.13,147.35,36.65,33.41,48.2,14.52,34.8,16.17,120.31,24.74,45.58,24.21,74.06,14.89,31.6,117.4,65.25,25.55,28.49,31.35,48.11,50.69,41.72,14.76,21.55,24.74,24.93,21.68,25.2,15.66,10.55,14.07,87.71,53.83,64.94,47.82,35.06,61.11,46.73,13.44,5.42,8.22,15.86,59.46,36.11,55.64,21.65,44.33,26.91
2010-01-26,32.65,36.02,47.05,52.62,199.12,53.81,37.7,33.11,26.57,51.89,33.52,42.98,143.45,36.61,32.95,48.87,14.5,33.5,16.11,119.48,24.41,46.36,24.12,73.88,14.6,31.78,117.06,64.9,24.93,28.48,31.14,47.87,51.35,41.42,14.55,20.16,24.53,25.03,21.36,25.27,16.24,10.7,13.82,86.78,53.89,64.95,48.42,34.51,61.89,46.43,13.14,5.21,8.19,15.99,59.52,35.4,56.28,21.56,44.59,26.77
2010-01-27,32.25,36.56,47.04,56.46,201.0,53.84,37.41,32.8,26.73,51.37,33.79,43.13,144.04,36.61,33.43,48.68,14.46,33.24,16.29,122.75,24.18,46.51,24.28,74.48,14.74,31.6,117.6,64.51,26.05,28.53,30.81,47.51,49.13,40.89,14.96,20.58,24.32,25.13,21.53,25.8,15.95,11.04,13.6,79.77,53.99,65.25,48.59,34.37,60.54,46.16,13.09,5.33,8.22,15.98,59.18,36.22,56.21,21.8,45.16,26.78
2010-01-28,31.3,35.39,46.38,57.04,192.7,53.35,37.35,32.32,26.27,51.03,33.17,42.13,145.74,36.43,33.16,47.96,14.34,33.8,15.98,126.03,23.99,46.09,24.13,73.08,14.53,30.36,115.2,64.1,26.28,28.06,30.68,46.19,47.68,40.3,15.14,19.96,24.2,24.68,21.2,25.52,15.73,10.91,13.8,77.67,54.77,64.42,48.38,34.47,60.88,44.61,12.85,5.18,8.15,15.44,58.66,36.36,55.41,21.21,45.08,26.77
2010-01-29,31.08,35.61,46.14,55.25,185.7,53.25,36.99,31.66,25.38,51.27,33.06,42.29,141.39,36.45,32.84,48.71,14.26,33.23,16.0,125.41,23.59,45.64,24.17,72.84,14.72,30.69,113.93,63.12,26.26,28.31,30.72,45.85,48.03,39.11,14.96,20.02,24.77,25.29,20.69,25.18,15.72,10.37,13.58,77.0,54.65,63.04,48.04,33.91,60.2,43.94,12.48,5.13,8.06,15.01,58.18,35.86,55.06,21.16,45.04,26.42
2010-02-01,31.77,36.13,46.6,56.25,188.29,54.21,38.43,31.54,25.59,51.37,33.69,43.38,145.59,36.41,33.14,48.75,14.41,34.21,16.11,118.87,23.89,46.09,24.22,72.8,14.82,30.89,116.05,64.4,26.72,29.22,31.24,46.96,48.67,39.35,15.19,19.79,25.32,25.63,21.2,25.54,16.36,10.63,13.97,79.94,55.04,63.35,48.3,33.78,62.52,44.65,12.79,5.27,8.29,15.05,59.76,36.5,56.35,21.4,46.1,26.66
2010-02-02,32.47,36.89,48.13,56.47,189.38,54.61,40.55,32.05,25.64,52.38,33.91,44.2,149.21,36.92,33.51,48.76,14.95,35.41,16.5,118.12,24.1,46.66,24.52,72.79,15.15,31.36,116.85,65.16,26.59,29.2,31.68,47.35,49.23,40.42,15.37,19.8,25.73,26.21,21.44,25.94,16.44,10.89,14.22,78.18,55.85,64.76,48.87,34.26,63.07,45.36,12.87,5.34,8.44,15.17,60.46,37.35,56.47,21.68,46.3,27.14
2010-02-03,32.37,36.24,48.24,56.42,192.64,54.74,40.93,31.59,25.79,52.13,31.29,44.29,149.48,36.81,31.54,49.47,14.8,34.94,16.12,119.1,23.84,46.72,24.44,73.76,14.85,31.27,116.97,64.08,26.04,29.08,30.77,46.87,49.08,40.55,15.3,19.65,25.18,25.7,21.34,25.92,16.17,11.13,14.09,73.49,55.63,64.88,48.72,36.4,63.15,45.49,12.92,5.25,8.31,15.46,60.14,37.11,57.51,21.72,46.56,27.04
2010-02-04,31.18,35.49,47.42,54.45,185.69,53.26,38.41,31.24,25.08,51.13,29.56,43.16,143.26,36.29,30.47,48.29,14.23,34.48,15.61,115.94,23.15,46.14,23.8,71.69,14.43,30.51,114.5,62.47,25.04,28.23,29.56,45.3,47.26,39.9,14.53,18.66,24.87,25.21,20.78,25.84,15.46,10.58,13.54,71.78,54.52,64.29,46.26,35.03,61.38,43.9,12.59,5.01,8.0,15.01,58.44,35.32,56.5,21.81,46.08,25.87
2010-02-05,31.06,35.79,47.0,53.61,188.99,53.15,38.24,30.89,25.24,50.9,30.1,42.89,146.57,36.1,30.34,48.72,14.01,34.26,15.55,117.39,23.57,45.54,23.65,71.08,14.34,29.61,114.98,62.3,25.37,28.42,29.48,44.05,47.58,39.5,14.78,18.51,24.4,25.26,21.12,25.89,15.5,10.43,13.37,74.71,54.43,64.06,46.54,34.49,60.03,44.17,12.81,5.09,7.83,15.19,58.51,35.28,55.89,22.32,45.89,25.04
2010-02-08,30.67,34.79,46.46,53.14,187.7,52.66,38.14,30.94,24.97,50.89,29.67,40.4,143.66,36.02,30.33,48.25,13.84,33.01,15.44,116.83,23.34,45.26,23.45,70.17,14.14,29.94,113.96,61.38,24.46,27.95,31.05,43.93,46.69,38.87,14.27,18.31,24.3,25.81,21.24,25.81,15.24,10.49,13.32,72.85,54.17,63.05,45.91,33.81,59.75,44.42,12.95,5.09,7.81,14.99,58.48,34.72,55.49,22.13,46.13,25.13
2010-02-09,31.39,35.5,47.0,54.84,189.7,53.63,38.96,31.22,25.23,51.47,30.33,40.97,144.98,36.51,30.62,48.54,13.84,33.77,15.48,118.03,23.49,45.68,24.06,71.24,14.31,30.26,115.21,62.42,24.72,28.55,31.05,44.61,49.21,39.71,14.26,19.12,24.74,26.06,21.5,26.3,15.45,10.66,13.83,74.6,54.84,63.83,46.33,34.52,61.27,44.92,13.11,5.11,7.75,15.07,59.26,35.36,56.06,22.5,47.39,25.44
2010-02-10,31.25,35.69,47.09,54.66,188.66,53.92,38.5,30.91,25.21,50.87,30.16,40.43,146.06,36.35,30.34,48.53,13.92,33.81,15.36,117.36,23.74,45.38,23.96,71.15,14.24,29.98,114.83,61.92,25.15,28.47,31.06,44.59,48.86,39.6,14.45,22.24,24.71,25.86,21.56,26.33,15.37,10.46,14.17,75.69,54.76,63.54,46.19,33.76,60.91,44.83,13.3,5.04,7.81,14.8,58.94,35.8,55.78,22.37,46.59,25.58
2010-02-11,31.66,36.2,47.22,55.62,192.1,54.65,39.2,31.69,25.33,51.1,30.92,39.95,146.46,36.59,30.61,48.39,13.99,34.06,15.47,120.09,23.98,45.92,24.15,72.65,14.26,30.11,115.69,62.78,25.06,28.62,31.51,45.72,51.62,39.88,14.41,21.73,25.07,26.17,21.86,26.39,15.37,10.69,14.4,76.0,55.01,64.59,46.45,33.84,61.06,45.39,13.49,5.1,8.1,15.22,59.29,35.94,56.26,22.53,47.28,25.95
2010-02-12,31.51,36.33,46.99,54.76,193.75,54.41,39.11,31.92,25.16,50.81,31.02,40.12,146.35,36.28,30.51,48.22,13.79,34.06,15.41,119.66,24.14,45.8,24.05,71.66,14.27,30.19,115.94,62.75,24.87,28.38,31.31,45.33,51.67,39.54,14.24,22.16,25.16,26.18,22.1,26.48,15.15,10.63,14.38,77.05,54.84,63.94,46.2,33.63,61.19,45.24,13.39,5.01,8.11,15.17,58.89,35.87,56.08,22.37,46.87,25.99
2010-02-16,32.32,37.46,47.96,56.23,196.67,54.75,39.72,32.34,25.66,51.16,31.51,41.34,149.65,36.72,31.17,48.82,14.23,34.22,15.34,117.53,24.39,46.26,24.42,72.83,14.57,30.64,117.09,64.5,25.34,28.78,31.81,46.58,52.51,40.03,14.94,22.66,25.9,26.58,22.8,26.37,15.38,10.82,14.22,76.01,55.79,64.32,46.43,34.27,62.9,46.15,13.68,5.01,8.19,15.41,60.24,36.91,56.45,22.6,47.4,26.23
2010-02-17,31.92,36.92,47.98,56.75,195.85,55.47,40.5,32.43,25.87,51.24,31.46,41.18,149.51,36.98,31.27,49.28,14.33,34.44,15.3,116.31,24.4,46.41,24.65,73.0,14.56,30.6,118.12,64.36,25.29,29.13,32.26,46.34,52.86,41.07,15.43,22.22,26.13,27.1,22.72,26.06,15.25,10.99,14.51,74.15,55.81,64.61,46.77,34.67,63.13,46.79,13.65,5.0,8.25,15.44,59.77,36.88,56.67,22.67,47.7,26.47
2010-02-18,31.96,37.02,48.72,57.73,196.21,55.84,40.0,32.0,26.22,52.14,31.51,41.29,148.06,37.55,31.73,48.74,14.41,34.71,15.35,118.08,24.37,46.73,24.91,73.89,14.63,30.86,119.51,65.05,25.3,29.56,32.38,46.78,53.15,41.31,15.64,22.07,26.25,27.35,22.84,26.22,15.14,10.88,14.58,73.44,56.28,65.42,46.79,34.62,64.64,47.43,13.96,5.08,8.48,15.54,59.95,37.22,56.87,22.86,48.95,26.72
2010-02-19,31.98,36.93,48.88,58.37,195.0,55.96,39.6,31.52,26.04,52.01,31.88,41.53,148.49,37.23,31.89,48.76,14.34,34.43,15.57,117.52,24.55,47.12,24.82,74.26,14.88,30.95,118.93,65.43,25.33,29.92,32.56,46.38,53.55,41.09,15.64,21.92,26.57,27.22,23.0,26.32,15.31,10.8,14.83,73.35,56.34,65.32,46.96,34.35,65.39,47.41,13.03,4.97,8.51,15.58,59.87,36.87,57.1,22.94,48.71,26.88
